활동 종류,날짜,즐겨찾기,제목,거리,칼로리,시간,평균 심박,최대심박,유산소 훈련 효과,평균 수영 케이던스,최고 수영 케이던스,평균 페이스,최대 페이스,총 상승,총 하강,평균 보폭,평균 수직 비율,평균 수직 진동,평균 지면 접촉 시간,평균 GAP,평균 수영 케이던스,최고 수영 케이던스,Normalized Power® (NP®),Training Stress Score®,최대 평균파워(20분),평균 파워,최대 파워,총 스트로크,평균 Swolf,평균 스트로크 속도,걸음,총 반복 횟수,총 세트,바디 배터리 방전,최저 온도,감압,최고 랩 기록,랩 수,최고 온도,평균 응답,최소 응답,최대 응답,평균 스트레스,최대 스트레스,이동 시간,경과 시간,최저 해발,최고 해발
트레드밀 러닝,2026-03-26 11:48:45,false,"트레드밀 러닝","8.01","457","00:41:12","145","168","2.6","179","190","5:09","4:36","--","--","1.08","7.9","8.5","243","--","--","--","305","0.0","--","304","356","--","--","--","7,378","--","--","-3","--","아니오","00:00:03.8","9","--","--","--","--","--","--","00:41:08","00:41:12","--","--"
풀 수영,2026-03-26 07:13:17,false,"풀 수영","475","250","00:36:08","109","152","1.3","--","--","2:03","0:59","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","202","41","21","--","--","--","--","--","아니오","00:00:08.6","31","--","--","--","--","--","--","00:09:43.7","00:36:20","--","--"
실내 자전거타기,2026-03-25 20:31:45,false,"실내 자전거타기","11.75","379","00:28:29","148","165","3.0","--","--","24.8","35.3","--","--","--","--","--","--","--","85","101","210","34.0","204","199","355","2378","--","--","--","--","--","--","20.0","아니오","00:28:29","1","23.0","35","26","44","--","--","00:27:49","00:28:29","--","--"
스텝퍼,2026-03-25 18:24:19,false,"스텝퍼","0.00","320","00:46:10","117","136","1.1","98","224","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,830","--","--","-2","--","아니오","00:46:10","1","--","--","--","--","--","--","00:00:00","00:46:10","--","--"
트레드밀 러닝,2026-03-25 11:50:01,false,"트레드밀 러닝","6.02","341","00:29:39","144","173","2.6","182","202","4:56","3:31","--","--","1.11","7.6","8.3","235","--","--","--","319","0.0","--","314","441","--","--","--","5,404","--","--","-4","--","아니오","00:00:04.1","7","--","--","--","--","--","--","00:29:27","00:33:02","--","--"
스텝퍼,2026-03-24 18:03:55,false,"스텝퍼","0.00","246","00:33:39","118","166","1.0","119","155","--","--","--","--","0.00","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,044","--","--","-2","--","아니오","00:33:39","1","--","--","--","--","--","--","00:00:00","00:33:39","--","--"
트레드밀 러닝,2026-03-24 11:51:01,false,"트레드밀 러닝","7.03","439","00:35:18","150","190","3.1","182","198","5:01","3:32","--","--","1.10","7.6","8.4","237","--","--","--","314","0.0","--","310","450","--","--","--","6,416","--","--","-7","--","아니오","00:00:11.0","8","--","--","--","--","--","--","00:34:51","00:36:29","--","--"
풀 수영,2026-03-24 07:05:42,false,"풀 수영","675","347","00:41:43","121","161","2.2","--","--","2:08","0:49","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","342","45","24","--","--","--","--","--","아니오","00:00:02.6","45","--","--","--","--","--","--","00:14:22","00:42:52","--","--"
근력 훈련,2026-03-23 18:05:49,false,"근력 훈련","0.00","232","00:43:20","103","141","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-2","--","아니오","00:43:20","1","--","--","--","--","--","--","00:43:20","00:43:20","--","--"
트레드밀 러닝,2026-03-23 11:48:10,false,"트레드밀 러닝","8.02","436","00:41:55","136","153","2.3","176","184","5:14","4:54","--","--","1.08","8.0","8.7","247","--","--","--","303","0.0","--","301","322","--","--","--","7,388","--","--","-7","--","아니오","00:00:04.7","9","--","--","--","--","--","--","00:41:45","00:41:55","--","--"
