활동 종류,날짜,즐겨찾기,제목,거리,칼로리,시간,평균 심박,최대심박,유산소 훈련 효과,평균 수영 케이던스,최고 수영 케이던스,평균 페이스,최대 페이스,총 상승,총 하강,평균 보폭,평균 수직 비율,평균 수직 진동,평균 지면 접촉 시간,평균 GAP,평균 수영 케이던스,최고 수영 케이던스,Normalized Power® (NP®),Training Stress Score®,최대 평균파워(20분),평균 파워,최대 파워,총 스트로크,평균 Swolf,평균 스트로크 속도,걸음,총 반복 횟수,총 세트,바디 배터리 방전,최저 온도,감압,최고 랩 기록,랩 수,최고 온도,평균 응답,최소 응답,최대 응답,평균 스트레스,최대 스트레스,이동 시간,경과 시간,최저 해발,최고 해발
근력 훈련,2025-12-29 12:29:08,false,"근력 훈련","0.00","298","00:38:03","117","152","1.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","10","5","1","-2","--","아니오","00:38:03","1","--","--","--","--","--","--","00:38:03","00:38:03","--","--"
러닝,2025-12-28 07:33:08,false,"러닝","13.39","940","01:05:19","164","189","4.8","190","219","4:53","2:56","46","40","1.07","7.3","7.8","229","4:52","--","--","332","0.0","--","329","573","--","--","--","12,426","--","--","-17","--","아니오","00:01:44.3","14","--","--","--","--","--","--","01:05:04","01:21:01","45","68"
실내 자전거타기,2025-12-27 05:42:21,false,"실내 자전거타기","9.37","291","00:25:01","117","142","2.4","--","--","22.5","29.9","--","--","--","--","--","--","--","80","92","178","23.5","176","171","278","2002","--","--","--","--","--","--","14.0","아니오","00:25:01","1","16.0","29","21","40","--","--","00:25:00","00:25:01","--","--"
트레드밀 러닝,2025-12-24 19:06:41,false,"트레드밀 러닝","4.01","235","00:20:25","134","158","2.4","180","195","5:05","3:53","--","--","1.09","7.7","8.4","240","--","--","--","311","0.0","--","306","419","--","--","--","3,660","--","--","-3","--","아니오","00:00:03.4","5","--","--","--","--","--","--","00:20:14","00:20:25","--","--"
근력 훈련,2025-12-24 12:31:37,false,"근력 훈련","0.00","206","00:33:11","104","149","1.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","20","10","1","-3","--","아니오","00:33:11","1","--","--","--","--","--","--","00:33:11","00:33:11","--","--"
근력 훈련,2025-12-23 18:45:16,false,"근력 훈련","0.00","164","00:20:39","114","153","1.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","6","3","1","-1","--","아니오","00:20:39","1","--","--","--","--","--","--","00:20:39","00:20:39","--","--"
트레드밀 러닝,2025-12-23 18:06:46,false,"트레드밀 러닝","7.01","402","00:37:10","134","154","2.6","176","188","5:18","4:09","--","--","1.07","8.1","8.6","249","--","--","--","299","0.0","--","297","399","--","--","--","6,548","--","--","-4","--","아니오","00:00:04.3","8","--","--","--","--","--","--","00:37:08","00:37:10","--","--"
트레드밀 러닝,2025-12-22 12:35:03,false,"트레드밀 러닝","5.51","358","00:27:55","144","166","3.2","180","197","5:04","4:12","--","--","1.09","7.8","8.4","241","--","--","--","310","0.0","--","307","386","--","--","--","5,030","--","--","-7","--","아니오","00:02:42.8","6","--","--","--","--","--","--","00:27:53","00:27:55","--","--"
근력 훈련,2025-12-19 12:17:20,false,"근력 훈련","0.00","207","00:37:54","99","135","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","46","23","1","-2","--","아니오","00:37:54","1","--","--","--","--","--","--","00:37:54","00:37:54","--","--"
트레드밀 러닝,2025-12-18 18:08:38,false,"트레드밀 러닝","5.01","287","00:28:26","127","140","2.1","170","177","5:41","5:12","--","--","1.04","8.5","8.8","259","--","--","--","283","0.0","--","280","316","--","--","--","4,868","--","--","-3","--","아니오","00:00:02.5","6","--","--","--","--","--","--","00:28:12","00:28:30","--","--"
근력 훈련,2025-12-18 12:15:26,false,"근력 훈련","0.00","242","00:34:53","110","149","1.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","20","10","1","-2","--","아니오","00:34:53","1","--","--","--","--","--","--","00:34:53","00:34:53","--","--"
실내 자전거타기,2025-12-18 05:51:01,false,"실내 자전거타기","13.87","400","00:39:42","116","131","2.3","--","--","21.0","27.2","--","--","--","--","--","--","--","77","88","147","25.6","148","145","220","3072","--","--","--","--","--","--","17.0","아니오","00:39:42","1","22.0","29","12","36","--","--","00:39:35","00:39:42","--","--"
트레드밀 러닝,2025-12-17 17:40:59,false,"트레드밀 러닝","6.01","382","00:30:43","143","170","3.0","176","192","5:07","3:39","--","--","1.11","7.9","8.7","245","--","--","--","314","0.0","--","308","453","--","--","--","5,398","--","--","-5","--","아니오","00:00:01.4","7","--","--","--","--","--","--","00:30:31","00:30:43","--","--"
트레드밀 러닝,2025-12-16 17:37:51,false,"트레드밀 러닝","8.01","474","00:42:05","136","166","3.0","176","194","5:15","3:46","--","--","1.08","8.1","8.7","248","--","--","--","302","0.0","--","300","435","--","--","--","7,390","--","--","-7","--","아니오","00:00:03.2","9","--","--","--","--","--","--","00:41:52","00:42:05","--","--"
근력 훈련,2025-12-16 12:12:58,false,"근력 훈련","0.00","207","00:33:55","103","152","0.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-2","--","아니오","00:33:55","1","--","--","--","--","--","--","00:33:55","00:33:55","--","--"
트레드밀 러닝,2025-12-15 17:41:51,false,"트레드밀 러닝","7.01","386","00:37:50","128","151","2.2","172","184","5:24","4:05","--","--","1.08","8.3","9.0","255","--","--","--","293","0.0","--","292","413","--","--","--","6,486","--","--","-5","--","아니오","00:00:02.8","8","--","--","--","--","--","--","00:37:43","00:46:25","--","--"
러닝,2025-12-12 14:53:51,false,"러닝","6.51","467","00:35:45","146","161","3.2","184","194","5:29","4:23","80","80","0.99","7.9","7.8","243","5:25","--","--","308","0.0","--","301","469","--","--","--","6,554","--","--","-6","--","아니오","00:02:41.9","7","--","--","--","--","--","--","00:35:33","00:36:04","21","54"
근력 훈련,2025-12-10 18:40:49,false,"근력 훈련","0.00","142","00:30:37","91","113","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","26","13","1","-1","--","아니오","00:30:37","1","--","--","--","--","--","--","00:30:37","00:30:37","--","--"
트레드밀 러닝,2025-12-10 18:08:12,false,"트레드밀 러닝","5.03","253","00:31:04","116","122","1.2","166","175","6:10","5:26","--","--","0.98","9.1","8.9","272","--","--","--","263","0.0","--","261","309","--","--","--","5,148","--","--","-3","--","아니오","00:00:12.3","6","--","--","--","--","--","--","00:30:51","00:31:04","--","--"
트레드밀 러닝,2025-12-09 18:17:33,false,"트레드밀 러닝","8.02","510","00:41:03","142","172","3.2","178","199","5:07","3:34","--","--","1.10","7.9","8.6","243","--","--","--","311","0.0","--","306","442","--","--","--","7,296","--","--","-8","--","아니오","00:00:04.1","9","--","--","--","--","--","--","00:40:47","00:41:03","--","--"
근력 훈련,2025-12-09 08:15:30,false,"근력 훈련","0.00","156","00:34:57","89","124","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-2","--","아니오","00:34:57","1","--","--","--","--","--","--","00:34:57","00:34:57","--","--"
근력 훈련,2025-12-08 18:51:07,false,"근력 훈련","0.00","161","00:25:04","104","138","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","22","11","1","-1","--","아니오","00:25:04","1","--","--","--","--","--","--","00:25:04","00:25:04","--","--"
트레드밀 러닝,2025-12-08 18:06:23,false,"트레드밀 러닝","7.51","407","00:39:48","129","146","2.3","176","188","5:18","3:57","--","--","1.07","8.1","8.7","250","--","--","--","299","0.0","--","297","429","--","--","--","6,960","--","--","-6","--","아니오","00:02:55.8","8","--","--","--","--","--","--","00:39:45","00:39:48","--","--"
트레드밀 러닝,2025-12-06 06:12:00,false,"트레드밀 러닝","10.01","411","01:00:22","112","122","1.6","172","179","6:02","5:09","--","--","0.97","8.8","8.5","264","--","--","--","267","0.0","--","265","330","--","--","--","10,352","--","--","-6","--","아니오","00:00:04.0","11","--","--","--","--","--","--","01:00:09","01:00:22","--","--"
트레드밀 러닝,2025-12-05 06:42:45,false,"트레드밀 러닝","8.01","439","00:46:01","127","148","2.2","171","181","5:45","5:03","--","--","1.02","8.6","8.8","262","--","--","--","279","0.0","--","278","327","--","--","--","7,844","--","--","-3","--","아니오","00:00:03.0","9","--","--","--","--","--","--","00:45:58","00:46:01","--","--"
근력 훈련,2025-12-03 18:20:31,false,"근력 훈련","0.00","129","00:30:07","87","141","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","28","14","1","-2","--","아니오","00:30:07","1","--","--","--","--","--","--","00:30:07","00:30:07","--","--"
트레드밀 러닝,2025-12-03 17:41:01,false,"트레드밀 러닝","7.01","360","00:37:14","126","143","2.1","176","188","5:19","4:51","--","--","1.07","8.1","8.6","248","--","--","--","298","0.0","--","296","331","--","--","--","6,542","--","--","-4","--","아니오","00:00:02.3","8","--","--","--","--","--","--","00:37:01","00:37:14","--","--"
트레드밀 러닝,2025-12-02 17:40:57,false,"트레드밀 러닝","6.01","323","00:33:28","125","134","2.0","170","178","5:34","5:10","--","--","1.05","8.4","8.8","256","--","--","--","288","0.0","--","285","320","--","--","--","5,750","--","--","-3","--","아니오","00:00:03.2","7","--","--","--","--","--","--","00:33:02","00:34:27","--","--"
근력 훈련,2025-12-02 12:44:31,false,"근력 훈련","0.00","179","00:41:32","88","122","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","12","6","1","-2","--","아니오","00:41:32","1","--","--","--","--","--","--","00:41:32","00:41:32","--","--"
근력 훈련,2025-12-01 18:35:24,false,"근력 훈련","0.00","141","00:20:16","107","131","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-1","--","아니오","00:20:16","1","--","--","--","--","--","--","00:20:16","00:20:16","--","--"
트레드밀 러닝,2025-12-01 18:05:31,false,"트레드밀 러닝","5.01","273","00:28:44","123","152","1.9","170","191","5:44","4:25","--","--","1.03","8.6","8.9","262","--","--","--","283","0.0","--","279","363","--","--","--","4,882","--","--","-1","--","아니오","00:00:04.4","6","--","--","--","--","--","--","00:28:31","00:28:44","--","--"
도로 사이클링,2025-11-30 09:46:11,false,"도로 사이클링","39.00","1,054","01:22:03","147","167","4.2","--","--","28.5","57.3","373","377","--","--","--","--","--","86","112","213","111.7","206","191","489","6330","--","--","--","--","--","--","12.0","아니오","00:08:48.2","8","17.0","36","23","54","--","--","01:21:53","01:22:11","19","59"
멀티스포츠,2025-11-30 09:20:23,false,"멀티스포츠","47.30","1,278","01:58:17","--","187","4.4","--","--","24.0","--","450","460","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","아니오","--:--:--","5","--","--","--","--","--","--","--:--:--","01:58:17","13","65"
실내 자전거타기,2025-11-29 10:43:54,false,"실내 자전거타기","5.29","159","00:13:02","61","72","2.0","--","--","24.4","30.8","--","--","--","--","--","--","--","85","96","183","12.7","--","181","277","1113","--","--","--","--","--","--","19.0","아니오","00:13:02","1","21.0","13","13","13","--","--","00:13:02","00:13:02","--","--"
트레드밀 러닝,2025-11-29 10:09:56,false,"트레드밀 러닝","4.01","263","00:21:05","140","157","2.6","177","188","5:15","4:41","--","--","1.08","8.0","8.6","247","--","--","--","302","0.0","--","299","337","--","--","--","3,710","--","--","-2","--","아니오","00:00:03.3","5","--","--","--","--","--","--","00:20:57","00:21:05","--","--"
축구,2025-11-27 18:19:36,false,"축구","2.75","454","00:48:31","125","159","2.8","35","224","3.4","14.7","--","--","1.64","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","4,200","--","--","-4","--","아니오","00:48:31","1","--","--","--","--","--","--","00:40:05","01:27:12","--","--"
근력 훈련,2025-11-27 12:47:42,false,"근력 훈련","0.00","170","00:31:27","96","151","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","30","15","1","-1","--","아니오","00:31:27","1","--","--","--","--","--","--","00:31:27","00:31:27","--","--"
근력 훈련,2025-11-26 18:17:46,false,"근력 훈련","0.00","197","00:41:37","91","122","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","20","10","1","-2","--","아니오","00:41:37","1","--","--","--","--","--","--","00:41:37","00:41:37","--","--"
트레드밀 러닝,2025-11-26 17:39:34,false,"트레드밀 러닝","5.01","281","00:29:23","122","144","1.9","168","191","5:52","4:41","--","--","1.02","8.8","9.0","267","--","--","--","276","0.0","--","274","331","--","--","--","4,920","--","--","-1","--","아니오","00:00:03.5","6","--","--","--","--","--","--","00:29:13","00:29:23","--","--"
축구,2025-11-25 18:32:18,false,"축구","4.00","453","01:13:21","104","149","1.9","46","209","3.3","19.6","--","--","1.18","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","6,090","--","--","-4","--","아니오","01:13:21","1","--","--","--","--","--","--","00:57:43","01:30:52","--","--"
근력 훈련,2025-11-24 17:36:10,false,"근력 훈련","0.00","199","00:35:41","98","125","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","18","9","1","-1","--","아니오","00:35:41","1","--","--","--","--","--","--","00:35:41","00:35:41","--","--"
러닝,2025-11-23 08:32:26,false,"러닝","42.32","2,859","03:35:18","152","171","5.0","190","200","5:05","3:25","181","161","1.03","7.4","7.6","232","5:04","--","--","326","0.0","--","321","490","--","--","--","40,924","--","--","-37","--","아니오","00:01:52.8","43","--","--","--","--","--","--","03:35:08","03:35:18","-4","43"
러닝,2025-11-23 07:55:04,false,"러닝","0.60","44","00:03:55.0","129","144","0.6","177","186","6:33","5:11","7","9","0.88","8.6","7.6","254","6:09","--","--","279","0.0","--","260","380","--","--","--","706","--","--","--","--","아니오","00:03:55.0","1","--","--","--","--","--","--","00:03:49","00:03:55.0","24","32"
근력 훈련,2025-11-20 18:18:43,false,"근력 훈련","0.00","196","00:26:02","111","132","0.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","34","17","1","-2","--","아니오","00:26:02","1","--","--","--","--","--","--","00:26:02","00:26:02","--","--"
트레드밀 러닝,2025-11-20 17:41:57,false,"트레드밀 러닝","4.91","277","00:26:43","128","156","2.2","175","197","5:27","4:11","--","--","1.05","8.2","8.6","251","--","--","--","294","0.0","--","289","388","--","--","--","4,682","--","--","-3","--","아니오","00:04:40.9","5","--","--","--","--","--","--","00:26:27","00:26:43","--","--"
트레드밀 러닝,2025-11-19 12:20:26,false,"트레드밀 러닝","7.01","436","00:33:46","145","171","3.2","183","203","4:49","3:16","--","--","1.12","7.5","8.3","233","--","--","--","330","0.0","--","322","455","--","--","--","6,164","--","--","-6","--","아니오","00:00:03.5","8","--","--","--","--","--","--","00:33:44","00:33:46","--","--"
근력 훈련,2025-11-18 18:31:18,false,"근력 훈련","0.00","128","00:16:28","109","145","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","16","8","1","-1","--","아니오","00:16:28","1","--","--","--","--","--","--","00:16:28","00:16:28","--","--"
트레드밀 러닝,2025-11-18 17:41:24,false,"트레드밀 러닝","7.01","375","00:36:36","130","164","2.4","178","198","5:13","3:55","--","--","1.08","7.9","8.5","245","--","--","--","306","0.0","--","301","410","--","--","--","6,516","--","--","-5","--","아니오","00:00:02.9","8","--","--","--","--","--","--","00:36:13","00:37:03","--","--"
근력 훈련,2025-11-17 18:22:00,false,"근력 훈련","0.00","172","00:25:24","106","151","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","18","9","1","-2","--","아니오","00:25:24","1","--","--","--","--","--","--","00:25:24","00:25:24","--","--"
트레드밀 러닝,2025-11-17 17:39:56,false,"트레드밀 러닝","6.01","304","00:34:32","121","145","2.0","172","192","5:45","4:41","--","--","1.01","8.6","8.7","260","--","--","--","279","0.0","--","276","330","--","--","--","5,916","--","--","-4","--","아니오","00:00:03.6","7","--","--","--","--","--","--","00:34:29","00:34:32","--","--"
러닝,2025-11-16 06:46:05,false,"러닝","26.01","1,766","02:12:42","142","169","5.0","190","212","5:06","3:18","34","11","1.02","7.5","7.6","232","5:06","--","--","311","0.0","--","309","478","--","--","--","25,232","--","--","-20","--","아니오","00:00:02.6","27","--","--","--","--","--","--","02:12:32","02:20:46","29","45"
실내 자전거타기,2025-11-15 08:05:01,false,"실내 자전거타기","11.94","348","00:31:50","125","142","2.3","--","--","22.5","28.1","--","--","--","--","--","--","--","82","96","162","23.8","163","159","272","2612","--","--","--","--","--","--","20.0","아니오","00:31:50","1","24.0","30","16","36","--","--","00:31:46","00:31:50","--","--"
트레드밀 러닝,2025-11-13 12:17:06,false,"트레드밀 러닝","8.01","511","00:40:18","146","166","3.2","184","198","5:02","3:50","--","--","1.08","7.6","8.1","236","--","--","--","311","0.0","--","308","422","--","--","--","7,384","--","--","-8","--","아니오","00:00:02.3","9","--","--","--","--","--","--","00:40:01","00:40:18","--","--"
근력 훈련,2025-11-12 18:26:37,false,"근력 훈련","0.00","199","00:28:56","108","146","1.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","34","17","1","--","--","아니오","00:28:56","1","--","--","--","--","--","--","00:28:56","00:28:56","--","--"
트레드밀 러닝,2025-11-12 17:39:12,false,"트레드밀 러닝","8.02","503","00:42:46","138","147","2.8","179","187","5:20","4:59","--","--","1.05","8.0","8.4","246","--","--","--","296","0.0","--","295","336","--","--","--","7,644","--","--","--","--","아니오","00:00:05.1","9","--","--","--","--","--","--","00:42:41","00:42:46","--","--"
트레드밀 러닝,2025-11-11 12:19:27,false,"트레드밀 러닝","7.01","436","00:34:57","141","167","3.2","184","200","4:59","3:59","--","--","1.08","7.6","8.2","235","--","--","--","313","0.0","--","310","408","--","--","--","6,448","--","--","-6","--","아니오","00:00:03.1","8","--","--","--","--","--","--","00:34:56","00:34:57","--","--"
근력 훈련,2025-11-10 19:03:24,false,"근력 훈련","0.00","128","00:24:54","94","123","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","10","5","1","-1","--","아니오","00:24:54","1","--","--","--","--","--","--","00:24:54","00:24:54","--","--"
트레드밀 러닝,2025-11-10 18:06:37,false,"트레드밀 러닝","10.01","530","00:52:30","140","167","3.4","180","188","5:15","4:54","--","--","1.06","7.9","8.4","244","--","--","--","299","0.0","--","298","339","--","--","--","9,426","--","--","-4","--","아니오","00:00:04.0","11","--","--","--","--","--","--","00:52:16","00:53:39","--","--"
러닝,2025-11-09 15:03:40,false,"러닝","10.01","658","00:48:30","148","163","3.8","190","202","4:51","3:40","36","21","1.08","7.2","7.8","227","4:50","--","--","344","0.0","--","341","499","--","--","--","9,252","--","--","-8","--","아니오","00:00:03.1","11","--","--","--","--","--","--","00:48:18","00:51:08","-0","9"
트레드밀 러닝,2025-11-07 17:37:43,false,"트레드밀 러닝","10.01","614","00:48:32","150","169","3.6","186","214","4:51","3:04","--","--","1.11","7.3","8.1","230","--","--","--","323","0.0","--","318","497","--","--","--","9,064","--","--","-8","--","아니오","00:00:02.2","11","--","--","--","--","--","--","00:48:09","00:48:36","--","--"
실내 자전거타기,2025-11-06 20:56:13,false,"실내 자전거타기","18.11","551","00:50:11","121","151","2.7","--","--","21.7","38.1","--","--","--","--","--","--","--","81","116","165","39.2","165","160","360","4110","--","--","--","--","--","--","21.0","아니오","00:50:11","1","26.0","29","16","40","--","--","00:50:10","00:52:21","--","--"
근력 훈련,2025-11-05 18:20:27,false,"근력 훈련","0.00","168","00:25:02","107","128","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","54","27","1","--","--","아니오","00:25:02","1","--","--","--","--","--","--","00:25:02","00:25:10","--","--"
트레드밀 러닝,2025-11-05 17:39:46,false,"트레드밀 러닝","7.01","395","00:35:08","135","162","2.8","184","204","5:01","3:44","--","--","1.08","7.6","8.2","235","--","--","--","313","0.0","--","308","424","--","--","--","6,448","--","--","--","--","아니오","00:00:03.4","8","--","--","--","--","--","--","00:34:55","00:35:08","--","--"
근력 훈련,2025-11-04 18:51:37,false,"근력 훈련","0.00","54","00:05:45.4","118","142","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","10","5","1","-1","--","아니오","00:05:45.4","1","--","--","--","--","--","--","00:05:45.4","00:05:45.4","--","--"
트레드밀 러닝,2025-11-04 17:58:32,false,"트레드밀 러닝","10.01","487","00:51:33","126","169","2.4","183","212","5:09","3:23","--","--","1.06","7.7","8.1","239","--","--","--","306","0.0","--","302","452","--","--","--","9,386","--","--","-4","--","아니오","00:00:03.4","11","--","--","--","--","--","--","00:51:16","00:51:33","--","--"
근력 훈련,2025-11-04 07:27:15,false,"근력 훈련","0.00","210","00:48:37","89","126","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8","4","1","-2","--","아니오","00:48:37","1","--","--","--","--","--","--","00:48:37","00:48:37","--","--"
근력 훈련,2025-11-03 18:27:30,false,"근력 훈련","0.00","103","00:10:10","123","138","1.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","12","6","1","-1","--","아니오","00:10:10","1","--","--","--","--","--","--","00:10:10","00:10:10","--","--"
트레드밀 러닝,2025-11-03 17:40:37,false,"트레드밀 러닝","9.01","529","00:45:19","138","164","3.2","185","203","5:02","3:38","--","--","1.08","7.6","8.1","235","--","--","--","310","0.0","--","307","447","--","--","--","8,350","--","--","-7","--","아니오","00:00:02.4","10","--","--","--","--","--","--","00:45:00","00:45:19","--","--"
트레드밀 러닝,2025-10-31 08:31:43,false,"트레드밀 러닝","3.01","191","00:16:05","135","160","2.4","179","190","5:21","4:47","--","--","1.05","7.9","8.3","244","--","--","--","296","0.0","--","292","328","--","--","--","2,878","--","--","--","--","아니오","00:00:02.0","4","--","--","--","--","--","--","00:15:54","00:16:05","--","--"
근력 훈련,2025-10-29 18:48:07,false,"근력 훈련","0.00","211","00:47:19","90","124","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","16","8","1","-1","--","아니오","00:47:19","1","--","--","--","--","--","--","00:47:19","00:47:19","--","--"
풀 수영,2025-10-29 07:18:29,false,"풀 수영","700","238","00:30:44","111","139","2.0","--","--","1:54","0:55","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","296","39","22","--","--","--","--","--","아니오","00:00:07.2","33","--","--","--","--","--","--","00:13:21","00:31:05","--","--"
근력 훈련,2025-10-28 18:47:32,false,"근력 훈련","0.00","134","00:17:18","110","134","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","14","7","1","-2","--","아니오","00:17:18","1","--","--","--","--","--","--","00:17:18","00:17:18","--","--"
트레드밀 러닝,2025-10-28 18:03:21,false,"트레드밀 러닝","8.01","451","00:40:46","136","154","2.8","184","196","5:05","4:38","--","--","1.07","7.6","8.1","236","--","--","--","307","0.0","--","304","343","--","--","--","7,494","--","--","-8","--","아니오","00:00:02.5","9","--","--","--","--","--","--","00:40:24","00:43:10","--","--"
근력 훈련,2025-10-27 18:52:22,false,"근력 훈련","0.00","203","00:35:50","100","130","0.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","24","12","1","-2","--","아니오","00:35:50","1","--","--","--","--","--","--","00:35:50","00:35:50","--","--"
트레드밀 러닝,2025-10-27 18:06:15,false,"트레드밀 러닝","8.01","477","00:42:51","142","162","3.4","180","193","5:21","4:21","--","--","1.04","7.9","8.2","244","--","--","--","296","0.0","--","292","376","--","--","--","7,728","--","--","-6","--","아니오","00:00:02.1","9","--","--","--","--","--","--","00:42:31","00:42:51","--","--"
축구,2025-10-26 09:09:23,false,"축구","7.53","829","01:18:17","134","190","3.2","78","237","5.8","24.8","--","--","1.24","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","9,394","--","--","-18","--","아니오","01:18:17","1","--","--","--","--","--","--","01:12:36","02:39:44","--","--"
근력 훈련,2025-10-23 19:50:37,false,"근력 훈련","0.00","149","00:21:25","106","135","0.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","8","4","1","-2","--","아니오","00:21:25","1","--","--","--","--","--","--","00:21:25","00:21:25","--","--"
트레드밀 러닝,2025-10-23 19:05:51,false,"트레드밀 러닝","8.01","431","00:41:09","136","165","2.9","183","194","5:08","4:41","--","--","1.06","7.7","8.2","240","--","--","--","304","0.0","--","302","343","--","--","--","7,486","--","--","-7","--","아니오","00:00:02.1","9","--","--","--","--","--","--","00:41:03","00:41:09","--","--"
근력 훈련,2025-10-21 18:00:57,false,"근력 훈련","0.00","105","00:20:17","94","122","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","24","12","1","-2","--","아니오","00:20:17","1","--","--","--","--","--","--","00:20:17","00:20:17","--","--"
근력 훈련,2025-10-20 18:50:38,false,"근력 훈련","0.00","116","00:16:10","107","131","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","10","5","1","-1","--","아니오","00:16:10","1","--","--","--","--","--","--","00:16:10","00:16:10","--","--"
트레드밀 러닝,2025-10-20 18:03:54,false,"트레드밀 러닝","8.52","437","00:46:14","126","146","2.2","180","192","5:26","4:47","--","--","1.02","8.1","8.2","246","--","--","--","289","0.0","--","288","335","--","--","--","8,306","--","--","-4","--","아니오","00:02:31.3","9","--","--","--","--","--","--","00:46:13","00:46:14","--","--"
러닝,2025-10-19 09:55:48,false,"러닝","5.01","354","00:28:12","144","157","2.8","188","196","5:38","5:06","57","57","0.94","7.9","7.4","241","5:35","--","--","294","0.0","--","289","374","--","--","--","5,316","--","--","-7","--","아니오","00:00:03.2","6","--","--","--","--","--","--","00:28:10","00:28:12","12","56"
도로 사이클링,2025-10-19 07:57:51,false,"도로 사이클링","42.90","992","01:35:22","--","--","1.7","--","--","27.0","50.9","428","424","--","--","--","--","--","72","115","181","90.4","187","151","488","5890","--","--","--","--","--","--","15.0","아니오","00:05:41.6","9","25.0","--","--","--","--","--","01:35:13","01:48:29","11","55"
러닝,2025-10-19 06:57:42,false,"러닝","7.01","481","00:35:30","148","164","3.6","194","205","5:04","4:19","10","12","1.01","7.3","7.3","227","5:04","--","--","310","0.0","--","307","390","--","--","--","6,942","--","--","-10","--","아니오","00:00:02.3","8","--","--","--","--","--","--","00:35:28","00:36:03","11","25"
트레드밀 러닝,2025-10-18 09:59:15,false,"트레드밀 러닝","4.02","231","00:23:53","123","134","1.8","174","180","5:57","5:28","--","--","0.97","8.6","8.3","257","--","--","--","268","0.0","--","266","309","--","--","--","4,162","--","--","-2","--","아니오","00:00:05.4","5","--","--","--","--","--","--","00:23:35","00:23:53","--","--"
실내 자전거타기,2025-10-18 08:48:15,false,"실내 자전거타기","20.27","573","00:56:37","108","125","2.2","--","--","21.5","28.4","--","--","--","--","--","--","--","82","102","148","35.6","157","146","276","4662","--","--","--","--","--","--","20.0","아니오","00:56:37","1","24.0","27","15","37","--","--","00:56:37","00:56:37","--","--"
근력 훈련,2025-10-17 12:44:49,false,"근력 훈련","0.00","202","00:37:16","98","133","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","18","9","1","-3","--","아니오","00:37:16","1","--","--","--","--","--","--","00:37:16","00:37:16","--","--"
